ID_do_Participante,ID_da_Imagem_Apresentada,Opcoes_de_Som,ID_do_Som_Escolhido,Grau_de_Confianca
P01,I7,S7;S2;S14,S7,4
P01,I2,S7;S2;S14,S2,4
P01,I14,S7;S2;S14,S14,4
P01,I16,S10;S16;S11,S10,6
P01,I10,S10;S16;S11,S16,6
P01,I11,S10;S16;S11,S11,5
P02,I14,S2;S7;S14,S2,6
P02,I7,S2;S7;S14,S7,5
P02,I2,S2;S7;S14,S14,6
P02,I10,S16;S11;S10,S16,7
P02,I11,S16;S11;S10,S11,5
P02,I16,S16;S11;S10,S10,5
P03,I7,S7;S14;S2,S7,4
P03,I2,S7;S14;S2,S14,6
P03,I14,S7;S14;S2,S2,6
P03,I11,S10;S11;S16,S10,7
P03,I16,S10;S11;S16,S11,7
P03,I10,S10;S11;S16,S16,6
P04,I14,S2;S14;S7,S2,2
P04,I2,S2;S14;S7,S14,7
P04,I7,S2;S14;S7,S7,6
P04,I11,S16;S10;S11,S16,3
P04,I10,S16;S10;S11,S10,5
P04,I16,S16;S10;S11,S11,3
P05,I2,S2;S7;S14,S2,7
P05,I7,S2;S7;S14,S7,5
P05,I14,S2;S7;S14,S14,4
P05,I11,S11;S10;S16,S11,4
P05,I10,S11;S10;S16,S16,2
P05,I16,S11;S10;S16,S10,2
P06,I2,S14;S2;S7,S14,7
P06,I14,S14;S2;S7,S2,6
P06,I7,S14;S2;S7,S7,4
P06,I16,S10;S11;S16,S10,5
P06,I11,S10;S11;S16,S11,6
P06,I10,S10;S11;S16,S16,4
P07,I2,S2;S7;S14,S2,3
P07,I7,S2;S7;S14,S7,7
P07,I14,S2;S7;S14,S14,4
P07,I10,S16;S10;S11,S16,6
P07,I16,S16;S10;S11,S10,5
P07,I11,S16;S10;S11,S11,7
P08,I2,S14;S7;S2,S14,5
P08,I7,S14;S7;S2,S7,6
P08,I14,S14;S7;S2,S2,3
P08,I11,S11;S10;S16,S11,6
P08,I16,S11;S10;S16,S10,5
P08,I10,S11;S10;S16,S16,7
P09,I14,S14;S7;S2,S14,3
P09,I7,S14;S7;S2,S7,7
P09,I2,S14;S7;S2,S2,6
P09,I16,S10;S11;S16,S10,6
P09,I11,S10;S11;S16,S11,7
P09,I10,S10;S11;S16,S16,6
P10,I7,S7;S14;S2,S7,6
P10,I2,S7;S14;S2,S14,6
P10,I14,S7;S14;S2,S2,3
P10,I11,S10;S16;S11,S10,7
P10,I10,S10;S16;S11,S16,5
P10,I16,S10;S16;S11,S11,6
P11,I7,S7;S14;S2,S7,7
P11,I2,S7;S14;S2,S14,4
P11,I14,S7;S14;S2,S2,3
P11,I16,S11;S16;S10,S11,6
P11,I10,S11;S16;S10,S16,6
P11,I11,S11;S16;S10,S10,7
P12,I7,S7;S14;S2,S7,2
P12,I2,S7;S14;S2,S14,2
P12,I14,S7;S14;S2,S2,5
P12,I10,S10;S11;S16,S10,3
P12,I11,S10;S11;S16,S11,3
P12,I16,S10;S11;S16,S16,1
