participant,image_id,sound_id,confidence,spatial_enclosure,arousal_level,material_warmth,emotional_valence,block
P01,I7,S7,4,Open,Tense,Cold,Pleasant,A
P01,I2,S2,4,Open,Calm,Warm,Unpleasant,A
P01,I14,S14,4,Enclosed,Tense,Warm,Unpleasant,A
P01,I16,S10,6,Enclosed,Tense,Cold,Unpleasant,B
P01,I10,S16,6,Enclosed,Calm,Warm,Unpleasant,B
P01,I11,S11,5,Enclosed,Calm,Cold,Pleasant,B
P02,I14,S2,6,Enclosed,Tense,Warm,Unpleasant,A
P02,I7,S7,5,Open,Tense,Cold,Pleasant,A
P02,I2,S14,6,Open,Calm,Warm,Unpleasant,A
P02,I10,S16,7,Enclosed,Calm,Warm,Unpleasant,B
P02,I11,S11,5,Enclosed,Calm,Cold,Pleasant,B
P02,I16,S10,5,Enclosed,Tense,Cold,Unpleasant,B
P03,I7,S7,4,Open,Tense,Cold,Pleasant,A
P03,I2,S14,6,Open,Calm,Warm,Unpleasant,A
P03,I14,S2,6,Enclosed,Tense,Warm,Unpleasant,A
P03,I11,S10,7,Enclosed,Calm,Cold,Pleasant,B
P03,I16,S11,7,Enclosed,Tense,Cold,Unpleasant,B
P03,I10,S16,6,Enclosed,Calm,Warm,Unpleasant,B
P04,I14,S2,2,Enclosed,Tense,Warm,Unpleasant,A
P04,I2,S14,7,Open,Calm,Warm,Unpleasant,A
P04,I7,S7,6,Open,Tense,Cold,Pleasant,A
P04,I11,S16,3,Enclosed,Calm,Cold,Pleasant,B
P04,I10,S10,5,Enclosed,Calm,Warm,Unpleasant,B
P04,I16,S11,3,Enclosed,Tense,Cold,Unpleasant,B
P05,I2,S2,7,Open,Calm,Warm,Unpleasant,A
P05,I7,S7,5,Open,Tense,Cold,Pleasant,A
P05,I14,S14,4,Enclosed,Tense,Warm,Unpleasant,A
P05,I11,S11,4,Enclosed,Calm,Cold,Pleasant,B
P05,I10,S16,2,Enclosed,Calm,Warm,Unpleasant,B
P05,I16,S10,2,Enclosed,Tense,Cold,Unpleasant,B
P06,I2,S14,7,Open,Calm,Warm,Unpleasant,A
P06,I14,S2,6,Enclosed,Tense,Warm,Unpleasant,A
P06,I7,S7,4,Open,Tense,Cold,Pleasant,A
P06,I16,S10,5,Enclosed,Tense,Cold,Unpleasant,B
P06,I11,S11,6,Enclosed,Calm,Cold,Pleasant,B
P06,I10,S16,4,Enclosed,Calm,Warm,Unpleasant,B
P07,I2,S2,3,Open,Calm,Warm,Unpleasant,A
P07,I7,S7,7,Open,Tense,Cold,Pleasant,A
P07,I14,S14,4,Enclosed,Tense,Warm,Unpleasant,A
P07,I10,S16,6,Enclosed,Calm,Warm,Unpleasant,B
P07,I16,S10,5,Enclosed,Tense,Cold,Unpleasant,B
P07,I11,S11,7,Enclosed,Calm,Cold,Pleasant,B
P08,I2,S14,5,Open,Calm,Warm,Unpleasant,A
P08,I7,S7,6,Open,Tense,Cold,Pleasant,A
P08,I14,S2,3,Enclosed,Tense,Warm,Unpleasant,A
P08,I11,S11,6,Enclosed,Calm,Cold,Pleasant,B
P08,I16,S10,5,Enclosed,Tense,Cold,Unpleasant,B
P08,I10,S16,7,Enclosed,Calm,Warm,Unpleasant,B
P09,I14,S14,3,Enclosed,Tense,Warm,Unpleasant,A
P09,I7,S7,7,Open,Tense,Cold,Pleasant,A
P09,I2,S2,6,Open,Calm,Warm,Unpleasant,A
P09,I16,S10,6,Enclosed,Tense,Cold,Unpleasant,B
P09,I11,S11,7,Enclosed,Calm,Cold,Pleasant,B
P09,I10,S16,6,Enclosed,Calm,Warm,Unpleasant,B
P10,I7,S7,6,Open,Tense,Cold,Pleasant,A
P10,I2,S14,6,Open,Calm,Warm,Unpleasant,A
P10,I14,S2,3,Enclosed,Tense,Warm,Unpleasant,A
P10,I11,S10,7,Enclosed,Calm,Cold,Pleasant,B
P10,I10,S16,5,Enclosed,Calm,Warm,Unpleasant,B
P10,I16,S11,6,Enclosed,Tense,Cold,Unpleasant,B
P11,I7,S7,7,Open,Tense,Cold,Pleasant,A
P11,I2,S14,4,Open,Calm,Warm,Unpleasant,A
P11,I14,S2,3,Enclosed,Tense,Warm,Unpleasant,A
P11,I16,S11,6,Enclosed,Tense,Cold,Unpleasant,B
P11,I10,S16,6,Enclosed,Calm,Warm,Unpleasant,B
P11,I11,S10,7,Enclosed,Calm,Cold,Pleasant,B
P12,I7,S7,2,Open,Tense,Cold,Pleasant,A
P12,I2,S14,2,Open,Calm,Warm,Unpleasant,A
P12,I14,S2,5,Enclosed,Tense,Warm,Unpleasant,A
P12,I10,S10,3,Enclosed,Calm,Warm,Unpleasant,B
P12,I11,S11,3,Enclosed,Calm,Cold,Pleasant,B
P12,I16,S16,1,Enclosed,Tense,Cold,Unpleasant,B
